name_name,name_rate
Apple iPhone 11 Pro Max ,"1,23,900"
Apple iPhone 7 Plus ,"34,900"
Apple iPhone XR ,"64,900"
Apple iPhone Xs ,"1,21,900"
Apple iPhone Xs Max ,"74,999"
Apple iPhone Xs Max ,"89,999"
Asus Zenfone 3 Laser ,"9,999"
Asus Zenfone 3 Max ZC520TL-4G110IN ,"6,199"
Asus Zenfone 3 Max ZC520TL-4H122IN ,"8,199"
Asus Zenfone 3 Max ZC553KL ,"8,599"
Asus ZenFone Max M1 ,"6,571"
Asus ZenFone3 Max 5.5 ZC553KL-4G079IN ,"8,599"
Bharat MICROMAX Q437 3 ,"3,500"
Bigbox99 Mobile Phone Metal Stand with Card Holder for Smartphones and Tablet - Antique Silver,10129
Billion Capture Plus 4G Smartphone ,"5,974"
blackbear B6 Master ,"3,871"
blackbear B6 Note X ,"4,999"
blackbear Featuer Mobile Phone Style Gold Color,10129
BlackBerry Classic ,"16,999"
BlackBerry DTEK 60 ,"19,999"
BlackBerry Evolve ,10129
BlackBerry Leap ,"7,998"
Blackberry Leap Smartphones ,"6,900"
BlackBerry Passport ,"19,999"
BlackBerry Priv with 18MP Primary Camera - Black,"19,999"
BlackBerry Z10 ,"5,500"
Bliss realU A2 4g Volte face Lock ,"4,299"
BLU Life Mark ,"5,990"
"CASEME Bolt Series Back Cover for iPhone Xs Max - Heavy-Duty Military-Grade Drop Protection with Kickstand Included Belt Clip Holster - 6.5"" Black",10129
"CASEME Bolt Series for iPhone 11 Pro Back Cover Case - Heavy-Duty Military-Grade Drop Protection with Kickstand Included Belt Clip Holster - 5.8"" 2019, Black",10129
"CASEME Bolt Series for iPhone 11 Pro Max Back Cover Case - Heavy-Duty Military-Grade Drop Protection with Kickstand Included Belt Clip Holster - 6.5"" 2019, Black ",10129
"CASEME Dark Series Back Cover for iPhone x, Back Cover for iPhone Xs - Heavy-Duty Drop Protection with Kickstand Included Belt Clip Holster - 5.8"" Black",10129
CAT Phones S61 Rugged Waterproof Smartphone with Integrated FLIR Camera.,"68,499"
Celkon C2233 ,"1,239"
Celkon Diamond U 4G ,"3,712"
Celkon Diamond U Feel 4G ,"3,999"
Celkon Millennia Q450 ,"2,199"
Centric L1 ,10129
Centric P1 ,"3,260"
Centric P1+ ,"4,000"
Comio C1 ,"4,995"
Comio C1 Pro ,"3,490"
Comio P1 ,10129
Comio S1 ,10129
Comio S1 Lite ,"3,999"
Comio X1 ,"4,599"
Comio X1 ,"6,099"
Comio X1 Note ,"7,000"
Coolpad A8 ,"9,999"
Coolpad Cool 1 ,"11,490"
Coolpad Cool 3 ,"5,420"
Coolpad Cool 3 ,"5,675"
Coolpad Cool 3 ,"5,500"
Coolpad Cool 3 4 GB 64GB ,"7,650"
Coolpad Cool 3 Plus ,"5,999"
Coolpad Cool 5 ,"6,999"
Coolpad Mega 2.5D ,"5,989"
Coolpad Mega 2.5D ,"6,999"
Coolpad Mega 5A ,10129
Coolpad Mega 5M ,"2,990"
Coolpad Mega 5M ,"2,947"
Coolpad Note 3s ,10129
"Dazen 6A 4G Volte Phone with Fingerprint Sensor 3GB RAM 5.7-inch 1080p Display, Octa-Core and 13MP/5MP HD Smartphone ","6,099"
"Digistream M1 Series BT 5.0 TWS Twins Earbuds Wireless Bluetooth Earphones with Mic and Portable Earphone Charging Case, Superior Bass with Mu5 High Clarity Sound Speakers","1,695"
Douzo Silk D4 ,"3,299"
Duraxo 3 in 1 Smartphone Stand Holder Screen Wipe and Ballpoint Pen for All Android Mobiles ,10129
Fashionwu 6.3 inch P36 PRO Android Smartphone Dual SIM Face Fingerprint Recognition 6G+128G Mobile Phone Sky White British regulatory,10129
FireTech Tripod for Mobile - 3110 Portable and Foldable Adjustable Aluminum Lightweight Camera Stand with Three-Dimensional Head for Cameras and Mobiles ,10129
FLYZONE SOYES 7S Super Smallest Mini Android Smart Mobile Phone 1GB RAM 8GB ROM 5.0MP Quad Core Dual SIM Dual Standby Unlocked Pocket Cell Phone,"4,999"
Forme R7S ,"4,290"
"frocel Strong Adsorption Gel Pad Desk Sticker Paste Reusable Phone Holder for Wall Car Mobile, Tablet Stand - Pack of 2",10129
Gionee A1 ,"8,799"
Gionee A1 ,10129
Gionee A1 Lite ,10129
Gionee A1 Lite 1618GI ,10129
Gionee Elife E3 ,"6,499"
Gionee F103 Pro ,"5,298"
Gionee F103 Pro 3 GB RAM - White,"5,499"
"Gionee F103 Pro, Gold","5,190"
Gionee F205 ,"4,507"
Gionee F205 ,"4,499"
Gionee F205 Pro ,"4,990"
Gionee F205 Pro ,"4,719"
Gionee F205 Pro ,"4,910"
GIONEE F9 Black ,"6,190"
GIONEE F9 Plus Black ,"7,472"
GIONEE F9 Plus Blue ,"7,496"
Gionee GPad G5 White,10129
Gionee M7 Power ,10129
Gionee M7 Power ,"8,989"
Gionee M7 Power ,"8,890"
Gionee Marathon M5 Lite ,"9,999"
Gionee Marathon M5 Plus ,"8,999"
GIONEE P4S Black,"4,990"
Gionee P5W ,"5,048"
Gionee P5W ,"4,650"
Gionee P5W ,"4,799"
Gionee P7 ,10129
Gionee P7 Max ,"6,999"
Gionee Pioneer P3 ,"3,990"
Gionee S10 LITE ,"6,899"
Gionee S10 Lite Mobile Phone,"5,599"
Gionee S6 Pro ,"9,489"
Gionee s6 Smartphone ,"5,999"
Gionee S6s ,"9,999"
Gionee S6s ,10129
Gionee X1S ,"6,999"
Gionee X1S ,"6,499"
Gome C7 ,"3,999"
Gome C7 Note ,"5,199"
Gome C7 Note ,"5,699"
Google Pixel ,"34,900"
Google Pixel 3 ,"49,999"
Google Pixel 3a ,"34,290"
Google Pixel 3a ,"33,999"
Google Pixel XL ,"31,990"
Hitech Amaze S2 ,"2,895"
HOMTOM H1 ,"3,988"
HOMTOM H3 ,"4,988"
HOMTOM H3 ,"4,999"
HOMTOM H3 3GB + 32GB Dual Camera + Screen Replacement with FP Sensor and Face Unlock with Full Metal Body ,"4,990"
Honor 10 Lite ,10129
Honor 10 Lite ,"10,280"
Honor 20i ,"10,999"
Honor 5X ,"7,900"
Honor 7C ,"9,499"
Honor 7C ,"9,230"
Honor 7C ,"9,699"
Honor 7X ,"11,999"
Honor 8C ,"8,999"
Honor 8C ,"9,508"
Honor 8X ,"9,499"
Honor 8X ,"10,490"
Honor 8X ,"11,999"
Honor 8X ,10129
Honor 8X ,"14,500"
Honor 9 Lite ,"10,990"
Honor 9 Lite ,10129
Honor 9 Lite ,"10,999"
Honor 9 Lite ,"11,125"
Honor 9i ,10129
Honor 9N ,"10,199"
Honor 9N ,"9,499"
Honor 9N ,"10,500"
Honor 9N ,"10,490"
Honor 9N ,10129
Honor 9N ,"11,798"
Honor Bee 4G ,10129
Honor Holly 3 ,"5,499"
Honor Holly 3 ,"6,799"
Honor Holly 3 ,"7,400"
Honor holly 4 plus,"6,999"
"Honor Holly 4 Smartphone, 32GB ","8,199"
Honor Play ,"12,999"
HTC Desire 326G ,10129
HTC Desire 526G Plus ,10129
HTC Desire 626 ,"5,730"
HTC Desire 626 Dual Sim D626h OPM1100 ,"5,999"
HTC Desire 626G+ ,"5,600"
HTC Desire 628 ,"5,799"
HTC Desire 628 Dual SIM ,"6,999"
HTC Desire 628h 2PVG200 Dual Sim,"6,989"
"HTC Desire 630 Smart Phone, White","11,400"
HTC Desire 728 ,"8,590"
HTC Desire 820G Plus ,"9,498"
HTC Desire 820G Plus ,"9,990"
HTC Desire 828 ,"8,990"
HTC Desire 828 ,"9,699"
"HTC One X9 Smart Phone, Carbon Grey","14,770"
HTC Wildfire X ,"12,500"
Huawei Bee ,10129
Huawei Mate 20 Pro GSM Unlocked 6GB RAM 128GB Storage -Twilight,10129
Huawei Mate 30 Pro Phone 8GB RAM 256GB Storage Dual-Sim ,"86,990"
Huawei P30 Lite ,"15,490"
Huawei P30 Pro ,"69,000"
"Huawei P30 Pro Dual SIM - 256GB, 8GB RAM, 4G LTE, Aurora","69,999"
"Huawei P30 Pro Dual SIM - 256GB, 8GB RAM, 4G LTE, Breathing Crystal","69,999"
Huawei Y9 2019 ,"11,990"
Huawei Y9 2019 JKM-AL00a ,"12,969"
Huawei Y9 Prime 2019 ,"15,990"
Hukato Charging Board Flex Cable Ribbon Connector Compatible for Xiaomi Mi4i / Mi 4i,10129
Hukato Sim Card Tray Holder for Oppo F1 Plus F1+ Rose Gold,10129
I Kall 4G Mobile with 1GB Ram and 8GB Internal Memory - Silver,"3,199"
I Kall K1 Smartphone ,"3,199"
I Kall K1 Smartphone 4G Dual Sim 1GB Ram and 8GB Internal Memory - Silver,"3,199"
I Kall K10 ,"4,899"
I Kall K10 Smartphone 4G Dual Sim 4GB Ram and 32GB Internal Memory White,"5,099"
I Kall K110 Smartphone ,"3,699"
I Kall K3 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Blue,"4,299"
I Kall K3 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Red,"4,299"
I Kall K300 Smartphone with 5.5 Inch Display and 4G Volte Dual Sim ,"2,999"
I Kall K4 Smartphone ,"3,199"
I Kall K4 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Blue,"3,199"
I Kall K400 Smartphone ,"5,499"
I Kall K5 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Blue,"3,199"
I Kall K500 Smartphone ,"5,999"
